2025-03-02 21:26:35,010 - INFO - KNN training script started
A new study created in memory with name: no-name-3f5a3f5c-857c-4270-b871-4d5af5627a6a
2025-03-02 21:26:35,134 - INFO - Starting Optuna hyperparameter optimization
Trial 40 finished with value: 4.41825066568527 and parameters: {'n_neighbors': 27, 'weights': 'distance', 'p': 1}. Best is trial 13 with value: 4.032820318148131.
Trial 41 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 42 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 43 finished with value: 4.123317428654868 and parameters: {'n_neighbors': 12, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 44 finished with value: 4.05492461925315 and parameters: {'n_neighbors': 3, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 45 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 46 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 47 finished with value: 4.161352140811273 and parameters: {'n_neighbors': 12, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 48 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 49 finished with value: 4.4026569725038165 and parameters: {'n_neighbors': 1, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 50 finished with value: 4.162656019140736 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 51 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 52 finished with value: 4.66661165334215 and parameters: {'n_neighbors': 50, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 53 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 54 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 55 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 56 finished with value: 4.139301642006982 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 57 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 58 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 59 finished with value: 4.243852755550155 and parameters: {'n_neighbors': 18, 'weights': 'distance', 'p': 1}. Best is trial 13 with value: 4.032820318148131.
Trial 60 finished with value: 4.614238414181637 and parameters: {'n_neighbors': 39, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 61 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 62 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 63 finished with value: 4.05492461925315 and parameters: {'n_neighbors': 3, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 64 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 65 finished with value: 4.05492461925315 and parameters: {'n_neighbors': 3, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 66 finished with value: 4.139301642006982 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 67 finished with value: 4.106689832231494 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 68 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 69 finished with value: 4.105398966725172 and parameters: {'n_neighbors': 2, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 70 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 71 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 72 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 73 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 74 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 75 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 76 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 77 finished with value: 4.219110912598065 and parameters: {'n_neighbors': 16, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 78 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 79 finished with value: 4.106689832231494 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 80 finished with value: 4.224896263572271 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 81 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 82 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 83 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 84 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 85 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 86 finished with value: 4.105398966725172 and parameters: {'n_neighbors': 2, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 87 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 88 finished with value: 4.2184716849352295 and parameters: {'n_neighbors': 12, 'weights': 'uniform', 'p': 1}. Best is trial 13 with value: 4.032820318148131.
Trial 89 finished with value: 4.143850700318734 and parameters: {'n_neighbors': 14, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 90 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 91 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 92 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 93 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 94 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 95 finished with value: 4.105398966725172 and parameters: {'n_neighbors': 2, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 96 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 97 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 98 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 99 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 100 finished with value: 4.106689832231494 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 101 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 102 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 103 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 104 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 105 finished with value: 4.3871105336618275 and parameters: {'n_neighbors': 31, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
