Model,Experiment,Dataset,Metric,Overall
ridge_rmse,genus_exp-ridge_rmse,Cross-Validation,RMSE std,0.3548618067050759
ridge_rmse,genus_exp-ridge_rmse,Cross-Validation,MAE std,0.059945138203914915
ridge_rmse,genus_exp-ridge_rmse,Cross-Validation,R2 std,0.04397073158257892
ridge_rmse,genus_exp-ridge_rmse,Cross-Validation,Adjusted R2 std,0.047019160539463103
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,RMSE,6.303318698722085
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,MAE,2.2112426744852614
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,R2,0.8279152552069377
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,Adjusted R2,0.8174030652605238
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,RMSE std,0.33777873426858956
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,MAE std,0.05444773201375182
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,R2 std,0.042640208170343426
sgd_rmse,genus_exp-sgd_rmse,Cross-Validation,Adjusted R2 std,0.045603059221373844
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,RMSE,6.281900599025027
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,MAE,2.2045611951322717
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,R2,0.8287945394409058
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,Adjusted R2,0.8183362927747568
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,RMSE std,0.3548591273155798
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,MAE std,0.05994323419329489
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,R2 std,0.04396912746501454
lasso_rmse,genus_exp-lasso_rmse,Cross-Validation,Adjusted R2 std,0.04701742868892046
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,RMSE,5.0073069452498125
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,MAE,1.9369446124026417
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,R2,0.8939284494601841
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,Adjusted R2,0.887748196001235
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,RMSE std,0.13413155754612088
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,MAE std,0.02464373189353587
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,R2 std,0.030328139832497655
gaussian_process_rmse,genus_exp-gaussian_process_rmse,Cross-Validation,Adjusted R2 std,0.03223029224749123
svr_rmse,genus_exp-svr_rmse,Cross-Validation,RMSE,5.162295039899792
svr_rmse,genus_exp-svr_rmse,Cross-Validation,MAE,1.9901939400934556
svr_rmse,genus_exp-svr_rmse,Cross-Validation,R2,0.8863210501785834
svr_rmse,genus_exp-svr_rmse,Cross-Validation,Adjusted R2,0.8796569267654558
svr_rmse,genus_exp-svr_rmse,Cross-Validation,RMSE std,0.1604307239595646
svr_rmse,genus_exp-svr_rmse,Cross-Validation,MAE std,0.030564476991399737
svr_rmse,genus_exp-svr_rmse,Cross-Validation,R2 std,0.03406945755192762
svr_rmse,genus_exp-svr_rmse,Cross-Validation,Adjusted R2 std,0.03623130718469606
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,RMSE,5.046455168182627
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,MAE,1.937985121944957
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,R2,0.8912384861179261
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,Adjusted R2,0.8848769772766358
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,RMSE std,0.19358140972050225
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,MAE std,0.03520849612737019
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,R2 std,0.03521652675235408
mlp_rmse,genus_exp-mlp_rmse,Cross-Validation,Adjusted R2 std,0.03745196114988108
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,RMSE,6.281904965105481
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,MAE,2.204562673106138
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,R2,0.8287939761426838
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,Adjusted R2,0.8183356825981762
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,RMSE std,0.35486181298837577
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,MAE std,0.05994513991028597
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,R2 std,0.043970731383054865
elastic_net_rmse,genus_exp-elastic_net_rmse,Cross-Validation,Adjusted R2 std,0.0470191603194185
