Model,Experiment,Dataset,Metric,Overall,Top 5%,Top 10%,Top 20%,Bottom 5%,Bottom 10%,Bottom 20%
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Training,RMSE,6.087365252549181,9.639018047401887,8.920128943382522,7.908164533930283,9.864326243635123,8.096182939021151,6.704872886569799
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Training,MAE,4.714371540546846,8.147209062111967,7.511181019182809,6.435368718988875,8.587665798064155,6.482240625057151,5.125022723387029
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Training,R2,0.726762407396143,0.23010132423791763,0.610945147042347,0.7400978479319327,-5.567455861206829,-2.653977355297791,-1.791893918542864
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Training,Adjusted R2,0.7239121566953601,0.02911007702569257,0.5661126542210551,0.7259518820905895,-1,-1,-1
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Testing,RMSE,6.867666745116456,10.174568180508066,11.62570846877435,9.476922870975049,12.765616044701442,9.896167650074393,7.529565343439673
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Testing,MAE,5.124603195583368,8.229110012353011,9.642078715022226,7.520114123824801,10.562937703553697,7.59970660349494,5.307466392185653
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Testing,R2,0.7435564431943278,-4.453877920115423,-1.4004052660201145,0.5593023162858918,-5.973971159371003,-3.6885450420552406,-2.1853911046520214
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Testing,Adjusted R2,0.7193481714318724,-4.453877920115423,-1,0.2216248703231335,-5.973971159371003,-1,-1
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,RMSE,6.292014224145778,10.13678894314126,9.286646965386915,8.249581686778699,9.979387154448508,8.225812666562165,6.902667158342595
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,MAE,4.863776314897075,8.699662564778711,7.870882720781002,6.728530463094902,8.668070818726234,6.626884046401661,5.262547159191909
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,R2,0.7080818353671586,0.14853109163167133,0.5783166587199223,0.7171720425338666,-5.721559559564729,-2.771923321055042,-1.9590457526363134
bayesian_ridge_rmse,genus_exp-bayesian_ridge_rmse,Cross-Validation,Adjusted R2,0.7050367201420282,-0.0737550393140427,0.5297242424396009,0.7017782699411527,-1,-1,-1
huber_rmse,genus_exp-huber_rmse,Training,RMSE,6.088715728978556,9.713364774688694,8.984230981033773,7.958549631658399,9.901470994189475,8.12006104606479,6.710625574345783
huber_rmse,genus_exp-huber_rmse,Training,MAE,4.705564331601112,8.220616105903252,7.580157225875099,6.4837499185180425,8.630963666039714,6.503649240989717,5.124749691015408
huber_rmse,genus_exp-huber_rmse,Training,R2,0.7266411589267707,0.21817890777543214,0.6053333855191146,0.7367754810726623,-5.617009333342082,-2.675562521190037,-1.7966867861485083
huber_rmse,genus_exp-huber_rmse,Training,Adjusted R2,0.7237896434346702,0.014075171309726353,0.5598542248660439,0.722448685300787,-1,-1,-1
huber_rmse,genus_exp-huber_rmse,Testing,RMSE,6.860700038078432,10.276919824166203,11.716084518482935,9.54362753291717,12.77553597872685,9.894347055650098,7.516747771184351
huber_rmse,genus_exp-huber_rmse,Testing,MAE,5.109887721856263,8.330587129160664,9.741216336368748,7.583838563097467,10.588782478677304,7.595984480045194,5.294717183524175
huber_rmse,genus_exp-huber_rmse,Testing,R2,0.7440764628844208,-4.564157009891219,-1.4378709169241177,0.5530766570839285,-5.984814069473895,-3.6868201008281707,-2.174555358572065
huber_rmse,genus_exp-huber_rmse,Testing,Adjusted R2,0.7199172809807101,-4.564157009891219,-1,0.210628900823562,-5.984814069473895,-1,-1
huber_rmse,genus_exp-huber_rmse,Cross-Validation,RMSE,6.299298686453022,10.298573488584587,9.403812260499214,8.326353646409466,10.011130543647788,8.243895230003215,6.90315599111267
huber_rmse,genus_exp-huber_rmse,Cross-Validation,MAE,4.863323950061888,8.899273943069646,8.009040988837285,6.807522897604355,8.712383432205858,6.650181897757931,5.265192950287789
huber_rmse,genus_exp-huber_rmse,Cross-Validation,R2,0.7074055184581434,0.12113507864533901,0.5676091722257536,0.7118834616278771,-5.764388728099283,-2.7885249659478175,-1.9594648746125536
huber_rmse,genus_exp-huber_rmse,Cross-Validation,Adjusted R2,0.7043533483006169,-0.10830310878795735,0.5177828854314557,0.6962018419194314,-1,-1,-1
knn_rmse,genus_exp-knn_rmse,Testing,RMSE,7.116530421626972,9.978203111670942,13.76295696068962,12.140026464565093,14.186154149773243,10.468997801425646,7.606118122806537
knn_rmse,genus_exp-knn_rmse,Testing,MAE,4.627132777479255,7.195728249436721,10.371788003795604,9.366077152686303,11.60897374710019,7.579861143740995,4.7462465826433915
knn_rmse,genus_exp-knn_rmse,Testing,R2,0.7246342088141124,-4.245394054898449,-2.364102486260376,0.2768217722067904,-7.612434670922434,-4.247038148044385,-2.250491848304864
knn_rmse,genus_exp-knn_rmse,Testing,Adjusted R2,0.6986396781261647,-4.245394054898449,-1,-0.277301804933461,-7.612434670922434,-1,-1
knn_rmse,genus_exp-knn_rmse,Cross-Validation,RMSE,5.854818949270012,11.431529692439703,11.657376806238226,9.237557963544011,10.437918676175359,8.278238660693967,6.464167055552144
knn_rmse,genus_exp-knn_rmse,Cross-Validation,MAE,4.162721964508746,9.137836174582276,9.64871730311847,7.219438242506783,9.240448716504924,6.8319593788242505,4.960706400224738
