ncbiTaxID_new,species_id,species,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,median_temp,superkingdom_dummy,K1_mean,K2_mean,K3_mean,K4_mean,K5_mean,K6_mean,K7_mean,K8_mean,K9_mean,K10_mean,T1_mean,T2_mean,T3_mean,T4_mean,T5_mean,ST1_mean,ST2_mean,ST3_mean,ST4_mean,ST5_mean,ST6_mean,ST7_mean,ST8_mean,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B9_mean,B10_mean,Z1_mean,Z2_mean,Z3_mean,Z4_mean,Z5_mean,MSWHIM1_mean,MSWHIM2_mean,MSWHIM3_mean,VHSE1_mean,VHSE2_mean,VHSE3_mean,VHSE4_mean,VHSE5_mean,VHSE6_mean,VHSE7_mean,VHSE8_mean,F1_mean,F2_mean,F3_mean,F4_mean,F5_mean,F6_mean,PP1_mean,PP2_mean,PP3_mean
1000565,378211,Methyloversatilis universalis,2,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,32003.0,Nitrosomonadales,2008793.0,Sterolibacteriaceae,378210.0,Methyloversatilis,33.5,0.0,0.1102237239443771,-0.2809641782245784,-0.0860161552586375,-0.0392352070048953,-0.0486836037725815,0.1392948349651688,0.1214829931020951,-0.0037429158883659,0.1699105227976733,0.0386437659851539,-0.2107411920159294,-0.3268501838823762,0.0410374301093857,-0.1928250106650716,0.0631837760928738,-0.1818464949177469,0.4911545132981493,0.1055819965805096,-0.0466213358914792,-0.1670727855933586,-0.3174913805140783,-0.0298194156918453,0.0381331222141921,-0.2299691578786802,-0.3286218641420064,0.0332783948969385,-0.0313399828693836,-0.0222624524914402,0.0807923664839572,-0.3528210947106275,0.3726379553598583,-0.379959313584644,-0.9077939444721114,-0.2636154171605604,-0.2245948979343914,-0.0085009446581215,-0.1587977959337626,-0.4416088378230139,0.1525900234476963,0.3241328771714817,-4.875221427688219,-0.1202552981151016,0.0169735561139061,0.2952476758221429,0.766893517865634,-0.0083705353583032,-0.1709783723603008,-0.2665837672484841,-0.1272383287208204,-0.0722057767666757,-0.3026471990887724,0.2253503936808927,-0.0017833550544681,0.0505522229999977,-0.6584936746610722,-0.2957962052856656,-0.3426524839316896,0.3180351399753405
1001240,1001240,Cryobacterium roopkundense,2,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,69578.0,Cryobacterium,16.5,0.0,0.0927380703253095,-0.3144070646640626,-0.0618521999750626,-0.0235779989521501,-0.0854413759750283,0.1592968181526832,0.1181420327482177,-0.045567835989102,0.1781761234432318,0.0531126166050649,-0.2271957291928554,-0.3538068137453201,0.0413664740784899,-0.1943773673645633,0.0251646410231204,-0.2083240025373126,0.530354952654592,0.1011293007816447,-0.0559747905276493,-0.1452247250636719,-0.3715427453017199,0.0225914867564463,0.0212606712735288,-0.231975032432,-0.3431532182360953,-0.0203266182738118,-0.0392304517395166,-0.0535572947546654,0.0672317892370231,-0.3774031682823348,0.3848672313917517,-0.4171493070504063,-0.9350750619473572,-0.3051237224556683,-0.2592108392649279,-0.0045692802138573,-0.1500428028609516,-0.4916952684750548,0.1316375714043046,0.3067624019804253,-5.0346236765948165,-0.211546552748196,0.0758120675643647,0.3149876849726113,0.8070698918749064,0.0107515299876845,-0.215697709476962,-0.3141188771458156,-0.1862434332160089,-0.0952031192210111,-0.3517791588745235,0.1979977749491981,-0.0015413990190401,0.0064709763716098,-0.7830528567445006,-0.2914248221011719,-0.4235486536010324,0.3250882604218955
100176,100176,Papillibacter cinnamivorans,2,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,216572.0,Oscillospiraceae,100175.0,Papillibacter,37.0,0.0,0.0948341244017855,-0.2580329902618084,-0.1300541180084344,-0.0080346919708415,-0.0529342511196282,0.1647086620484782,0.0671938892409553,-0.0147213061950956,0.1435479036019378,-0.0010079986227406,-0.1632788068275486,-0.315016389268084,0.0304222235978854,-0.1872147942600326,0.0562770765664686,-0.1314964562286801,0.4512543648850462,0.0426462031197543,-0.0348842885724534,-0.1338680896530984,-0.253789645709445,0.0267080679381879,0.0657168991174394,-0.1614037727095548,-0.3232838797514924,0.0379841871698542,0.0377938494510087,-0.0375562356723732,0.0416273279175529,-0.3425561754794777,0.3735499812878292,-0.3626322422249868,-0.879653566751094,-0.2590155911783232,-0.1948510689004134,-0.0144299837703448,-0.1322824411287801,-0.3178235554669718,0.1061787971150858,0.2636953157184503,-4.711838090559932,-0.010894711020515,-0.0141653784123502,0.2839029736962855,0.6902309559154458,-0.0149141202632192,-0.1373673806354989,-0.2120676051216825,-0.1141493674017401,-0.0802730971695151,-0.2753534481513754,0.2063424173716503,-0.0484418946454637,0.031183392591897,-0.6112207267864449,-0.3148040685997731,-0.4393659467249114,0.2309549443834442
1002227,1002227,Methylovorus menthalis,2,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,32003.0,Nitrosomonadales,32011.0,Methylophilaceae,81682.0,Methylovorus,25.0,0.0,0.0933121802812737,-0.2556156806514137,-0.1425297753905145,-0.0198297140756394,-0.0522272770865613,0.1475466505909479,0.079722951400655,-0.02666608981171,0.1445054439249736,0.0322207699629191,-0.1727448882947974,-0.3159253603409356,0.024390973638179,-0.1736823055811748,0.0758229008912587,-0.1285614970638066,0.4544749292345632,0.0788824643222547,-0.0469420773974355,-0.163078074290138,-0.2614620968720774,-0.0018196264066702,0.0457711862789685,-0.1287207972939329,-0.3320844093670347,0.0156861006984625,-0.0174396920940231,-0.0173451817929182,0.0038628603181738,-0.335430917845944,0.4028591878470093,-0.3840148701704176,-0.8807909822969557,-0.2603077276732173,-0.2067258927682055,-0.0280561900423452,-0.126682503414295,-0.3209964016128087,0.1173199339023991,0.2577561993145629,-4.712202528641782,-0.0748117462561592,0.0075911555561352,0.2781390236551972,0.6862644664178321,0.0025115805070705,-0.1458146167430537,-0.2126533701014671,-0.150531449893072,-0.0624095351540095,-0.2861910179310974,0.1869047559545859,-0.0368036067650041,-0.0239266952721941,-0.5902270526377079,-0.313783315622782,-0.384715608190837,0.3019598544397601
1002689,1002689,Occallatibacter riparius,2,Bacteria,57723.0,Acidobacteriota,204432.0,Terriglobia,204433.0,Terriglobales,204434.0,Acidobacteriaceae,1742983.0,Occallatibacter,31.5,0.0,0.1201768871813427,-0.2537188962102248,-0.0991138690285379,-0.0307743159614322,-0.0540181926797482,0.1362675345194819,0.104486025375795,-0.0346023741050822,0.1552790525504022,0.027068112557201,-0.178673561731279,-0.3218640929593602,0.0408317612971234,-0.1971685710741708,0.0314249313265465,-0.1619334667749115,0.4488671757212785,0.1032456439158609,-0.0410448889366686,-0.1236965285986762,-0.2839183266786974,-0.0047340361686463,0.0517664775057783,-0.1677807434746114,-0.3130419683439163,0.0206831198452529,-0.0322379439129073,-0.0303783514984677,0.0305051613105031,-0.3361176845558875,0.3934752698514311,-0.3863124312570682,-0.8904317956180493,-0.2612393347186278,-0.2166681696379842,-0.0219640769257161,-0.1374736542190729,-0.3984958795450659,0.1367716221469115,0.2844530384531232,-4.766254880827555,-0.1220353997217431,0.0168441254199661,0.2555942085156932,0.7242525665730615,-0.0173283302003107,-0.1566842148331461,-0.2423367208583406,-0.1227327227478547,-0.0619208625678144,-0.2827239373294644,0.1977517548562223,0.0043345587483934,0.0498312368813303,-0.6023274378348743,-0.2845762676217752,-0.3570639671575703,0.298580093330956
1002795,1002795,Pectinatus sottacetonis,2,Bacteria,1239.0,Bacillota,909932.0,Negativicutes,909929.0,Selenomonadales,1843491.0,Selenomonadaceae,864.0,Pectinatus,30.0,0.0,0.0791477006506111,-0.2455758377734888,-0.196293397344973,0.0278675382228178,-0.0483193771187676,0.1725297377796778,0.0309354430527935,-0.0335356349629842,0.0968497025972815,-0.0211195280660062,-0.1274450857262656,-0.2947083554843097,0.031382372167446,-0.1627107233020318,0.0785291542480534,-0.0616408413680289,0.4015235207535891,0.0014093415732851,-0.0095504082003592,-0.1360341080789023,-0.1839690631365498,0.0732224895328203,0.0860207522639242,-0.0511098162246781,-0.3289701950877018,0.006315005608801,0.0744777043205881,0.0211740577929559,-0.0617449594543902,-0.3335219069938389,0.3958094248841236,-0.3559695066327806,-0.8465648134415861,-0.2589997610960242,-0.1809637065523623,-0.0374777119250618,-0.1017968410614222,-0.1622316414316577,0.0806244102760758,0.1816956556731792,-4.520124933556375,0.0487488790878439,-0.0316055471696176,0.2871682842234654,0.592463269805991,-0.0074153672519729,-0.0959930068041272,-0.1383136909932936,-0.1577491211672652,-0.032690879442915,-0.2373914414548381,0.1909464776104014,-0.0752950237817163,-0.0331214331941465,-0.4952886558810977,-0.3567111745491274,-0.4106849214652791,0.252535923694121
1002870,1002870,Gaiella occulta,2,Bacteria,201174.0,Actinomycetota,1497346.0,Thermoleophilia,1154584.0,Gaiellales,1154585.0,Gaiellaceae,1154586.0,Gaiella,36.0,0.0,0.1168823632872702,-0.3093109931514569,-0.0596110947222778,-0.0516989138196225,-0.0607527328879045,0.1427250552651867,0.1497032708995666,0.0100873572534692,0.1979730492626801,0.0543889713074438,-0.2396636636195499,-0.3409361682558057,0.0490740775642606,-0.2289331010695429,0.0601040223490172,-0.2183022329068371,0.5451384646758659,0.1144745990054832,-0.0376495826678071,-0.1805122241941082,-0.3660287181774084,-0.0134192953623567,0.0420618937940286,-0.3018573251898658,-0.3445739698949383,0.0365332138867319,-0.0220942411312217,-0.0490839660284186,0.1308449839890625,-0.3737354088056984,0.3523847138089589,-0.3747908774791638,-0.9323236384664638,-0.2842426052404176,-0.2434039487364692,0.0058534561479048,-0.1843435610065253,-0.523824914389167,0.1675167601526665,0.3720818082599376,-5.018205136381017,-0.1475938403184968,0.0362887690016575,0.3176256267983054,0.827515114789225,-0.0155006319311844,-0.1995119474192648,-0.310923377683546,-0.1282686852824053,-0.0859581674172776,-0.3527852247653144,0.2702646101261789,0.0110553276582897,0.08681419847002,-0.7651773633985253,-0.3329844678201647,-0.3706508856974694,0.3186121763857973
1003997,1003997,Alicyclobacillus cellulosilyticus,2,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186823.0,Alicyclobacillaceae,29330.0,Alicyclobacillus,55.0,0.0,0.0712022819850469,-0.255573662982773,-0.115404323585076,-0.0453778972050556,-0.0529102178231457,0.126544144039073,0.1210863219652885,-0.0035947928438274,0.1615092805004814,0.0515452461550377,-0.2120511543293469,-0.3022844809661801,0.0334582656752668,-0.2036340443649893,0.0717241094794222,-0.1344554910794858,0.4565857546471047,0.0943460726704664,-0.0007677133472624,-0.1659271839466596,-0.2703104378511291,0.0321238616357637,0.0296331219258746,-0.1984920642950238,-0.3062772523711817,0.0341082210378032,-0.0161405994495349,-0.0346973801736975,0.075907101308458,-0.3355832385793396,0.3972589640106141,-0.3672255262414906,-0.8781451262631664,-0.2586152799217006,-0.1998012227892883,-0.0164713121969058,-0.1686157282171678,-0.3991091155670158,0.1534223616552996,0.3009647131157879,-4.690803072505635,-0.1163410034708049,-0.0037013383668741,0.2693309901686674,0.7115824887232577,0.0136410254226338,-0.1470375716252986,-0.2176206205745603,-0.1340713488729231,-0.0387509391921252,-0.3108459155873395,0.2105189505085439,0.0006751283676547,-0.0444298803666977,-0.6151608625841738,-0.3518258437175169,-0.3007717622385559,0.2676296146438349
1004261,1004261,Oceanobacillus indicireducens,2,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,182709.0,Oceanobacillus,39.0,0.0,0.0972746238155207,-0.2167212729438562,-0.2193994259976579,0.0037304241857842,-0.078621812288813,0.171266120514435,0.0059036283639737,-0.0197243134195084,0.114786688064247,-0.0047719388175088,-0.1075943783271513,-0.2929400645654766,-0.0130540444714985,-0.1950119030902651,0.1124774156284835,-0.0489306983627694,0.4182946888428508,0.0267468862198687,-0.044783941465483,-0.1695596300039429,-0.1621923601469377,0.0318159065749742,0.0978553795442584,-0.0976783018599006,-0.3271454569944148,0.0066837217827135,0.0759075454164434,-0.0046082994276614,-0.0382087857353101,-0.3063193776745774,0.3838664270897545,-0.3522045668361649,-0.8309994888049229,-0.2565675958101714,-0.1801468872094474,-0.0528610592002655,-0.0907108448457383,-0.1462238255570139,0.0790472342007029,0.1978933808893326,-4.411839956164065,0.0879285515984124,-0.0136108601980837,0.2467325245285695,0.5805120259481331,-0.0174142687644739,-0.0661603742121634,-0.1223746059853469,-0.142144575861695,-0.1010197300639322,-0.2554028789132341,0.2018595111742915,-0.067056949288224,-0.0185742633153026,-0.4727370896389486,-0.3848358690542017,-0.4893403184021821,0.2359121722387707
1004279,1004279,Mesorhizobium muleiense,2,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,356.0,Hyphomicrobiales,69277.0,Phyllobacteriaceae,68287.0,Mesorhizobium,28.0,0.0,0.1090108861936222,-0.2773399912833283,-0.0896059603853325,-0.0301617287562219,-0.0612101885503895,0.1505753070725402,0.1126096414638458,-0.0115116249884331,0.165180437265089,0.0245128650685297,-0.2049599105570332,-0.3263853952182274,0.0427122961418726,-0.1878864319844806,0.0494629101089426,-0.1721264200827125,0.4805647291131864,0.0903799161733924,-0.0464132945325157,-0.1526094075623345,-0.3087902978267701,-0.0100589528947875,0.0443844728666992,-0.2036244593745321,-0.3230242837700359,0.0217627749728667,-0.0035997845269951,-0.027222350097818,0.0491865758265182,-0.3529359939119574,0.37407524978763,-0.3809501764712723,-0.9037937831219812,-0.2690074236986613,-0.2210218819116034,-0.0101191818698444,-0.1546711960012384,-0.4203028712677105,0.141539255930068,0.3094994661255231,-4.853800712410068,-0.1152425412127355,0.0099761026897467,0.2928078029828022,0.7521840387947469,-0.0073311144693406,-0.1681133044812569,-0.2613951039997586,-0.1300975173210314,-0.0706094992521023,-0.3014361377107042,0.2214815833464416,-0.0068901203367081,0.04213360685547,-0.655048260300285,-0.2967740376607475,-0.3576494847266506,0.3033636272384092
